"name","clock","tree","tip.date"
"YuleBirthRateScaler.t","Strict Clock","Yule","FALSE"
"YuleModelTreeScaler.t","Strict Clock","Yule","FALSE"
"YuleModelTreeRootScaler.t","Strict Clock","Yule","FALSE"
"YuleModelUniformOperator.t","Strict Clock","Yule","FALSE"
"YuleModelSubtreeSlide.t","Strict Clock","Yule","FALSE"
"YuleModelNarrow.t","Strict Clock","Yule","FALSE"
"YuleModelWide.t","Strict Clock","Yule","FALSE"
"YuleModelWilsonBalding.t","Strict Clock","Yule","FALSE"
"YuleBirthRateScaler.t","Relaxed Clock Exponential","Yule","FALSE"
"YuleModelTreeScaler.t","Relaxed Clock Exponential","Yule","FALSE"
"YuleModelTreeRootScaler.t","Relaxed Clock Exponential","Yule","FALSE"
"YuleModelUniformOperator.t","Relaxed Clock Exponential","Yule","FALSE"
"YuleModelSubtreeSlide.t","Relaxed Clock Exponential","Yule","FALSE"
"YuleModelNarrow.t","Relaxed Clock Exponential","Yule","FALSE"
"YuleModelWide.t","Relaxed Clock Exponential","Yule","FALSE"
"YuleModelWilsonBalding.t","Relaxed Clock Exponential","Yule","FALSE"
"YuleBirthRateScaler.t","Relaxed Clock Log Normal","Yule","FALSE"
"YuleModelTreeScaler.t","Relaxed Clock Log Normal","Yule","FALSE"
"YuleModelTreeRootScaler.t","Relaxed Clock Log Normal","Yule","FALSE"
"YuleModelUniformOperator.t","Relaxed Clock Log Normal","Yule","FALSE"
"YuleModelSubtreeSlide.t","Relaxed Clock Log Normal","Yule","FALSE"
"YuleModelNarrow.t","Relaxed Clock Log Normal","Yule","FALSE"
"YuleModelWide.t","Relaxed Clock Log Normal","Yule","FALSE"
"YuleModelWilsonBalding.t","Relaxed Clock Log Normal","Yule","FALSE"
"YuleBirthRateScaler.t","Random Local Clock","Yule","FALSE"
"YuleModelTreeScaler.t","Random Local Clock","Yule","FALSE"
"YuleModelTreeRootScaler.t","Random Local Clock","Yule","FALSE"
"YuleModelUniformOperator.t","Random Local Clock","Yule","FALSE"
"YuleModelSubtreeSlide.t","Random Local Clock","Yule","FALSE"
"YuleModelNarrow.t","Random Local Clock","Yule","FALSE"
